playlist_id,song_id
1,1A2vZKJZovt4828jwLgiB3
1,35xSkNIXi504fcEwz9USRB
1,7vRfxLcDDwgYW2WTrtEgUV
1,0R7YVi7w41Dr9jU5vblAok
2,2tJulUYLDKOg9XrtVkMgcJ
2,2DEZmgHKAvm41k4J3R2E9Y
2,6TA5aymvVrtiPVbuAwmPIc
2,2F3N9tdombb64aW6VtZOdo
2,4EF6IyONolQy0bIQXm2EmX
3,0AVgSiAUfEnhSma5WN6I1f
3,7CCuorx4vpWM7zdoDlvtdu
3,3dj4wgM3cPeuLwMNHDuBon
4,20QSU9vg05qYSDVgOTAwPp
4,0w3Mfe4PIVjuFjJbe3OlYv
4,3zm1llB7yVxvCsh8M0X6RP
4,3S9i1ICfQjMmJYWbtnmN0f
4,02cRoSfWU3RJNFyU3o4lhV
4,0msrDPXxZpts4FRnoX0bFr
4,7u6DMPznGbpziuEgCE0JGQ
4,2O0rIAtaJj77UMZUGtlg3T
4,2xql0pid3EUwW38AsywxhV
4,0B1QILlvPWfc9vovFYuUuk
4,3GZD6HmiNUhxXYf8Gch723
4,0V6JZbCVSePUhqNdg7i68m
4,1QBwk6GTCxVdC2hoSw9tlM
4,285pBltuF7vW8TeWk8hdRR
4,6FPQabaldvKE5cjqRfY9Os
4,0G3UdBIKyA0JWHrNsEoRao
4,5ypYDzYwSpfQxUrr2Pkf5A
4,4JOyMhad5dD81uGYLGgKrS
4,6vc2Jq2vaGu8z326kSrw92
4,0N5iX9O78Wsg0bzaU9qHIL
5,3LcoHjgdNl4xtWVaJGSA1p
5,3oGVx9RBmiYGv5ZCecWLkx
5,4jjFjbqCTkaN1mGb0BMYl2
5,0FJqXBo7ZHrskhH4owaL9S
5,6holGuk1jKHTdWyWBOZi8l
5,1YnChEM51BVZ5dRhbVFEMl
5,76kelNDs1ojicx1s6Urvck
5,5vollujufHY0jMZxx77VWr
5,430qNtapCS3Ue1yoSql1oV
5,0HyCm2IYlKEhImmdP9lgG7
5,1n2wszmJyVkw6FHqyLnQsY
5,2ihahL78kz1hALHfMtscKq
5,2nZ33CKRbgpJQJJQKHuGXb
