id,name,popularity,followers,genres,url
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,76,8964211,melodic rap,https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I
64DvMieEUCdrYKmEIhDt8G,Arjan Dhillon,71,3969885,"punjabi pop, punjabi hip hop, bhangra",https://open.spotify.com/artist/64DvMieEUCdrYKmEIhDt8G
19I4tYiChJoxEO5EuviXpz,AFI,62,997338,"punk, horror punk, emo, skate punk",https://open.spotify.com/artist/19I4tYiChJoxEO5EuviXpz
3PyJHH2wyfQK3WZrk9rpmP,Ashnikko,69,2601709,,https://open.spotify.com/artist/3PyJHH2wyfQK3WZrk9rpmP
53RsXctnNmj9oKXvcbvzI2,Alexisonfire,53,457252,"post-hardcore, screamo, emo, metalcore",https://open.spotify.com/artist/53RsXctnNmj9oKXvcbvzI2
64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,74,6203786,"grunge, post-grunge",https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL
0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,75,11691478,"metal, alternative metal",https://open.spotify.com/artist/0nmQIMXWTXfhgOBdNzhGOs
6mEQK9m2krja6X1cfsAjfl,Ado,74,6655263,"j-pop, anime, vocaloid, j-rock",https://open.spotify.com/artist/6mEQK9m2krja6X1cfsAjfl
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,90,107140248,pop,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
6lcwlkAjBPSKnFBZjjZFJs,Alex G,74,3509702,,https://open.spotify.com/artist/6lcwlkAjBPSKnFBZjjZFJs
6YVMFz59CuY7ngCxTxjpxE,aespa,77,9684994,k-pop,https://open.spotify.com/artist/6YVMFz59CuY7ngCxTxjpxE
6s22t5Y3prQHyaHWUN1R1C,AJR,70,3660182,,https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C
4aKWmkWAKviFlyvHYPTNQY,Adrianne Lenker,72,1430070,,https://open.spotify.com/artist/4aKWmkWAKviFlyvHYPTNQY
6kBDZFXuLrZgHnvmPu9NsG,Aphex Twin,63,1774181,"idm, ambient, electronica",https://open.spotify.com/artist/6kBDZFXuLrZgHnvmPu9NsG
